Date,Time,Transaction ID,Account Number (Sender),Account Name (Sender),Account Number (Receiver),Account Name (Receiver),Category,Amount,Transaction Type,Description
2024-10-10,15:38:23,T6309365,AC48886953,Bajaj Finserv,AC45517595,Hindustan Unilever,Miscellaneous,7528.89,Debit,Auto-generated transaction details
2024-10-10,15:38:23,T8193547,AC71142778,Axis Bank,AC96415793,Larsen & Toubro,Education,4693.78,Credit,Auto-generated transaction details
2024-10-10,15:38:23,T4240696,AC19943785,Bharti Airtel,AC83032216,Aditi,Utilities,1707.73,Credit,Auto-generated transaction details
2024-10-10,15:38:23,T1158295,AC51681924,Vikram,AC75092517,State Bank of India,Transport,4931.2,Debit,Auto-generated transaction details
2024-10-10,15:38:23,T3592956,AC84472172,Hindustan Unilever,AC33526843,Reliance Industries,Shopping,4145.93,Debit,Auto-generated transaction details
2024-10-10,15:38:23,T3156404,AC55760417,HDFC Bank,AC84539888,Pooja,Food,8237.12,Credit,Auto-generated transaction details
2024-10-10,15:38:23,T7653661,AC66585220,Lakshmi,AC42421781,Reliance Industries,Education,8591.75,Credit,Auto-generated transaction details
2024-10-10,15:38:23,T7564737,AC59324145,Meera,AC61074615,Hindustan Unilever,Food,651.12,Debit,Auto-generated transaction details
2024-10-11,15:38:23,T9717803,AC16765555,Pooja,AC83129432,Ishita,Utilities,1058.94,Debit,Auto-generated transaction details
2024-10-11,15:38:23,T2521554,AC76660749,Kabir,AC77311741,Neha,Shopping,9027.46,Debit,Auto-generated transaction details
2024-10-11,15:38:23,T2079927,AC61904038,Hindustan Unilever,AC93994893,Arjun,Utilities,4957.75,Debit,Auto-generated transaction details
2024-10-11,15:38:23,T5888383,AC56465918,Lakshmi,AC68440831,Nikhil,Education,9646.18,Debit,Auto-generated transaction details
2024-10-11,15:38:23,T6456131,AC57996592,State Bank of India,AC88016896,Kabir,Miscellaneous,9472.37,Debit,Auto-generated transaction details
2024-10-12,15:38:23,T8141534,AC35638112,Bharti Airtel,AC88698149,Diya,Transport,456.86,Credit,Auto-generated transaction details
2024-10-12,15:38:23,T2466929,AC37949507,Vikram,AC59032902,Larsen & Toubro,Education,312.84,Credit,Auto-generated transaction details
2024-10-12,15:38:23,T4483613,AC72150083,Vikram,AC72101803,Wipro,Shopping,6857.77,Debit,Auto-generated transaction details
2024-10-12,15:38:23,T9800500,AC68458722,State Bank of India,AC43275694,Nikhil,Education,7641.93,Debit,Auto-generated transaction details
2024-10-13,15:38:23,T4309965,AC76043867,Wipro,AC21802860,Pooja,Healthcare,5992.44,Debit,Auto-generated transaction details
2024-10-13,15:38:23,T9336501,AC90187604,Bharti Airtel,AC27377016,Bharti Airtel,Healthcare,4509.91,Credit,Auto-generated transaction details
2024-10-13,15:38:23,T1313718,AC57096825,Lakshmi,AC77603619,Siddharth,Shopping,8910.67,Credit,Auto-generated transaction details
2024-10-13,15:38:23,T2160056,AC80434455,Bharti Airtel,AC92450619,Ananya,Entertainment,4289.81,Debit,Auto-generated transaction details
2024-10-13,15:38:23,T7377200,AC63576869,Wipro,AC81468425,State Bank of India,Education,8549.78,Credit,Auto-generated transaction details
2024-10-13,15:38:23,T6812128,AC88878853,Larsen & Toubro,AC41364444,ICICI Bank,Transport,4355.25,Credit,Auto-generated transaction details
2024-10-14,15:38:23,T2040516,AC23496583,Priya,AC63603513,Arjun,Entertainment,8325.75,Debit,Auto-generated transaction details
2024-10-14,15:38:23,T5219570,AC84783604,Siddharth,AC98835610,Diya,Transport,7621.25,Debit,Auto-generated transaction details
2024-10-14,15:38:23,T1883451,AC28527360,HDFC Bank,AC90699277,Adani Enterprises,Miscellaneous,5609.58,Debit,Auto-generated transaction details
2024-10-14,15:38:23,T2497057,AC56969296,Kabir,AC26166254,ICICI Bank,Healthcare,753.29,Credit,Auto-generated transaction details
2024-10-14,15:38:23,T2517023,AC38976389,Kabir,AC52873751,Hindustan Unilever,Miscellaneous,637.42,Credit,Auto-generated transaction details
2024-10-14,15:38:23,T8662413,AC41337985,Bajaj Finserv,AC86768952,Bajaj Finserv,Food,2615.6,Debit,Auto-generated transaction details
2024-10-14,15:38:23,T4547649,AC33691017,Mahindra & Mahindra,AC55528498,Maruti Suzuki,Healthcare,7961.22,Credit,Auto-generated transaction details
2024-10-14,15:38:23,T1695128,AC64258209,Infosys,AC67497672,Vikram,Shopping,2254.85,Debit,Auto-generated transaction details
2024-10-14,15:38:23,T2639211,AC11390324,Rohan,AC72150514,Rajesh,Healthcare,6405.49,Credit,Auto-generated transaction details
2024-10-14,15:38:23,T1709867,AC44814915,Vikram,AC42442678,Wipro,Education,4592.52,Debit,Auto-generated transaction details
2024-10-15,15:38:23,T4886631,AC76936816,Bajaj Finserv,AC42905751,Bajaj Finserv,Transport,5530.52,Debit,Auto-generated transaction details
2024-10-15,15:38:23,T3754030,AC92183646,Nikhil,AC16812186,Axis Bank,Utilities,2736.27,Credit,Auto-generated transaction details
2024-10-15,15:38:23,T1557035,AC87326226,Akash,AC29066253,Ishita,Education,1419.42,Debit,Auto-generated transaction details
2024-10-15,15:38:23,T9648242,AC27323940,Rajesh,AC59715487,Larsen & Toubro,Food,543.71,Debit,Auto-generated transaction details
2024-10-15,15:38:23,T9459932,AC72786296,Vikram,AC87921616,Rajesh,Miscellaneous,2556.08,Debit,Auto-generated transaction details
2024-10-15,15:38:23,T4453070,AC75248498,Lakshmi,AC73013919,State Bank of India,Shopping,7299.04,Credit,Auto-generated transaction details
2024-10-15,15:38:23,T7050151,AC25542231,Maruti Suzuki,AC72525838,Lakshmi,Entertainment,2693.63,Credit,Auto-generated transaction details
2024-10-16,15:38:23,T5674890,AC73652801,Adani Enterprises,AC74543694,Priya,Shopping,1969.09,Debit,Auto-generated transaction details
